Timestamp,IR_Presence_L1,IR_Presence_L2,IR_Presence_L3,IR_Presence_L4,Vehicle_Count,Average_Speed_kmph,Car_Count,Bike_Count,Bus_Count,Truck_Count,Van_Count,Ambulance_Count,Fire_Truck_Count,Police_Car_Count,Vehicle_Density_Percent,Signal_Duration_Class
08:00:00,0,1,0,0,104,42.4,74,10,4,3,7,1,0,1,52.0,Emergency
08:00:09,1,1,1,1,36,46.8,1,20,0,9,5,0,1,0,18.0,Emergency
08:00:18,0,0,0,1,46,47.3,18,11,3,8,2,0,0,0,23.0,Low
08:00:27,0,0,1,1,95,38.9,59,13,1,9,8,1,0,1,47.5,Emergency
08:00:37,1,0,1,0,17,44.1,1,5,1,3,5,0,0,1,8.5,Emergency
08:00:46,1,1,1,1,65,33.9,30,15,3,8,7,0,1,0,32.5,Emergency
08:00:55,0,0,1,1,62,35.2,44,0,0,6,8,1,0,1,31.0,Emergency
08:01:05,0,0,1,0,60,34.8,4,38,1,8,6,0,1,1,30.0,Emergency
08:01:14,0,1,0,0,66,45.9,39,21,2,2,0,0,0,0,33.0,Low
08:01:23,0,0,1,0,47,35.5,26,8,1,9,2,0,1,0,23.5,Emergency
08:01:33,1,0,1,1,79,44.4,28,35,4,6,2,1,1,1,39.5,Emergency
08:01:42,0,1,0,0,70,51.4,27,27,3,3,9,0,1,0,35.0,Emergency
08:01:51,0,0,0,1,94,41.5,69,7,2,8,4,0,0,1,47.0,Emergency
08:02:01,1,0,0,1,66,41.3,51,11,1,2,0,0,0,1,33.0,Emergency
08:02:10,0,0,1,1,38,39.6,0,18,1,4,9,1,1,1,19.0,Emergency
08:02:19,0,0,1,0,70,38.8,37,23,4,3,1,1,1,0,35.0,Emergency
08:02:29,0,1,0,1,63,37.9,35,18,1,2,2,1,1,0,31.5,Emergency
08:02:38,0,0,1,1,37,44.3,17,0,2,8,8,1,0,0,18.5,Emergency
08:02:47,0,0,1,1,13,40.1,1,0,3,4,4,1,0,0,6.5,Emergency
08:02:57,0,0,0,1,56,41.9,19,23,0,7,3,0,0,1,28.0,Emergency
08:03:06,1,1,1,1,100,41.5,17,65,2,8,3,0,1,0,50.0,Emergency
08:03:15,1,1,1,1,80,36.4,6,66,0,0,2,1,0,1,40.0,Emergency
08:03:25,0,1,1,0,49,40.1,27,14,0,4,2,1,0,1,24.5,Emergency
08:03:34,1,0,1,1,59,47.3,5,34,3,8,4,1,0,0,29.5,Emergency
08:03:43,0,0,1,0,66,35.8,32,17,0,9,5,1,0,1,33.0,Emergency
08:03:52,1,0,1,0,39,32.4,26,1,1,0,7,0,0,0,19.5,Low
08:04:02,1,0,1,0,74,42.6,44,19,0,7,2,0,0,1,37.0,Emergency
08:04:11,1,1,0,0,94,59.3,50,24,1,5,9,1,1,0,47.0,Emergency
08:04:20,1,1,0,1,86,47.8,4,67,4,3,2,0,1,1,43.0,Emergency
08:04:30,1,1,1,1,101,40.6,16,62,2,9,6,1,0,1,50.5,Emergency
08:04:39,1,0,0,0,49,34.0,0,33,0,7,4,0,1,0,24.5,Emergency
08:04:48,1,0,0,0,55,38.3,25,15,2,4,5,0,0,1,27.5,Emergency
08:04:58,0,0,0,1,94,39.9,38,32,4,6,9,1,1,0,47.0,Emergency
08:05:07,1,1,0,1,73,35.3,57,0,4,3,7,1,0,1,36.5,Emergency
08:05:16,1,1,1,0,75,30.5,32,32,4,2,4,1,0,0,37.5,Emergency
08:05:26,1,1,0,1,28,46.4,12,11,1,2,1,0,0,0,14.0,Low
08:05:35,1,0,1,1,80,33.8,6,57,4,1,7,1,0,0,40.0,Emergency
08:05:44,0,1,1,0,71,35.9,35,17,0,6,7,0,1,1,35.5,Emergency
08:05:54,1,0,0,0,48,38.0,16,16,3,8,5,0,0,0,24.0,Low
08:06:03,1,1,0,0,97,41.3,75,8,3,3,2,1,0,1,48.5,Emergency
08:06:12,0,0,1,0,113,38.3,52,41,1,6,9,0,0,0,56.5,Medium
08:06:22,0,0,1,0,25,41.2,8,9,1,0,5,0,1,0,12.5,Emergency
08:06:31,0,1,0,1,32,32.1,7,15,4,0,5,1,0,0,16.0,Emergency
08:06:40,0,1,1,1,49,40.4,26,9,1,2,6,1,0,0,24.5,Emergency
08:06:50,1,1,1,1,117,46.4,76,27,0,0,8,1,0,1,58.5,Emergency
08:06:59,1,1,1,0,78,43.9,46,20,4,4,3,0,0,1,39.0,Emergency
08:07:08,1,0,0,0,57,35.5,22,10,3,9,7,1,1,1,28.5,Emergency
08:07:17,0,1,1,1,76,47.6,7,57,3,1,4,0,1,1,38.0,Emergency
08:07:27,1,0,0,0,97,33.4,55,29,1,4,6,1,0,1,48.5,Emergency
08:07:36,1,1,0,0,41,49.2,20,16,4,0,1,0,0,0,20.5,Low
08:07:45,0,1,0,1,80,41.6,22,36,4,4,9,1,0,0,40.0,Emergency
08:07:55,1,0,1,0,65,41.0,44,12,3,0,0,1,1,1,32.5,Emergency
08:08:04,0,1,0,1,124,37.4,64,43,4,8,0,1,0,0,62.0,Emergency
08:08:13,0,1,1,0,76,44.5,37,33,1,1,1,1,0,0,38.0,Emergency
08:08:23,0,1,1,0,84,48.1,50,16,4,3,9,1,0,1,42.0,Emergency
08:08:32,1,1,1,0,23,33.1,5,1,4,2,8,0,0,1,11.5,Emergency
08:08:41,1,1,1,1,110,36.2,66,26,4,1,9,0,0,0,55.0,Medium
08:08:51,1,1,1,0,41,48.4,20,5,0,4,8,1,1,1,20.5,Emergency
08:09:00,0,1,1,0,80,39.8,21,46,2,0,9,1,0,1,40.0,Emergency
08:09:09,0,0,1,0,52,35.5,21,13,1,6,7,1,0,1,26.0,Emergency
08:09:19,1,0,0,0,68,42.4,17,37,2,2,8,0,0,1,34.0,Emergency
08:09:28,0,0,0,0,80,43.3,43,24,0,3,8,1,1,0,40.0,Emergency
08:09:37,0,1,0,1,105,42.0,39,48,3,2,9,0,0,1,52.5,Emergency
08:09:47,1,1,1,0,65,48.2,44,5,4,8,0,0,1,0,32.5,Emergency
08:09:56,1,0,1,1,95,40.2,39,36,3,7,5,1,1,1,47.5,Emergency
